"warehouse_product_id","shopify_product_id","vendor","title","created_at","action","error"
"7cf46cac-bb70-4848-b469-3a5beea7999a","gid://shopify/Product/9947228963131","Hologram Label","LXV - The Impossible Room CD-R","2026-04-19T04:30:13.381954+00:00","would_archive",""
"4b2705d8-ea41-4e95-b0ae-1994bc13314b","gid://shopify/Product/9947278541115","Urashima","Merzbow - Hybrid Noisebloom 2xLP","2026-04-19T04:30:13.806211+00:00","would_archive",""
"20191b25-9639-45a7-b436-c82c694e2084","gid://shopify/Product/10347307860283","Northern Spy Records","Northern Spy Records - Nipomo","2026-04-19T04:35:01.605476+00:00","would_archive",""
"dea86b24-cd1c-4406-b87d-7ced77ba8e4b","gid://shopify/Product/10347337810235","In The Pines","In The Pines - ????? Sticker ????? (3 total)","2026-04-19T04:35:01.75556+00:00","would_archive",""
"ed0f7bb9-0f12-4ea1-bb48-373b8a9142d5","gid://shopify/Product/10347337777467","In The Pines","In The Pines - San Lorenzo","2026-04-19T04:35:01.909787+00:00","would_archive",""
"75cb82f9-7054-46e0-8365-0eb920eaea00","gid://shopify/Product/10347705106747","LEAVING RECORDS","SWARVY - Elderberry","2026-04-19T04:35:02.642868+00:00","would_archive",""
"649ab5fc-8412-48c4-8f84-6ae9505b2ab0","gid://shopify/Product/10347706679611","True Panther","Elori Saxl - Seeing Is Forgetting","2026-04-19T04:35:02.771851+00:00","would_archive",""
"8613e45b-bf40-4601-b7a2-029bf0c7be76","gid://shopify/Product/10347708776763","Egghunt Records","doll baby - Hell Block","2026-04-19T04:35:02.900671+00:00","would_archive",""
"5181fe08-104d-44d0-b864-8ac4809efeb6","gid://shopify/Product/10347765498171","Northern Spy Records","Northern Spy Records - Nipomo","2026-04-19T04:35:03.024346+00:00","would_archive",""
"bee500f3-af27-4935-90fb-51952c6c205b","gid://shopify/Product/10347222991163","Northern Spy Records","Northern Spy Records - Potted Iris Longsleeve","2026-04-19T04:35:03.716434+00:00","would_archive",""
"a134c2f9-7dcd-40a1-b955-fe0a13c28094","gid://shopify/Product/10347223023931","Northern Spy Records","Northern Spy Records - Nipomo","2026-04-19T04:35:03.855066+00:00","would_archive",""
"15e4ade7-0c74-4573-bf27-b8555112996f","gid://shopify/Product/10347223089467","Northern Spy Records","Shilpa Ray - Paisley","2026-04-19T04:35:03.965384+00:00","would_archive",""
